INFO 2025-11-27 17:30:17,846 autoreload Watching for file changes with StatReloader
INFO 2025-11-27 17:30:31,569 basehttp "GET /media/products/gallery/prod_1587_5.jpg HTTP/1.1" 200 27774
INFO 2025-11-27 17:30:31,571 basehttp "GET /media/products/gallery/prod_1585_0.jpg HTTP/1.1" 200 69803
INFO 2025-11-27 17:30:31,574 basehttp "GET /media/products/gallery/prod_1578_0.jpg HTTP/1.1" 200 45996
INFO 2025-11-27 17:30:31,581 basehttp "GET /media/products/gallery/prod_1583_0.jpg HTTP/1.1" 200 14552
INFO 2025-11-27 17:30:31,582 basehttp "GET /media/products/gallery/prod_1579_0.jpg HTTP/1.1" 200 35421
INFO 2025-11-27 17:30:31,603 basehttp "GET /media/products/gallery/prod_1575_0.jpg HTTP/1.1" 200 24002
INFO 2025-11-27 17:30:31,606 basehttp "GET /media/products/gallery/prod_1570_0.jpg HTTP/1.1" 200 59213
INFO 2025-11-27 17:30:31,606 basehttp "GET /media/products/gallery/prod_1573_0.jpg HTTP/1.1" 200 42106
INFO 2025-11-27 17:30:31,615 basehttp "GET /media/products/gallery/prod_1568_0.jpg HTTP/1.1" 200 50737
INFO 2025-11-27 17:30:31,617 basehttp "GET /media/products/gallery/prod_1569_0.jpg HTTP/1.1" 200 48166
INFO 2025-11-27 17:30:31,633 basehttp "GET /media/products/gallery/prod_1564_0.jpg HTTP/1.1" 200 31343
INFO 2025-11-27 17:30:31,647 basehttp "GET /media/products/gallery/prod_1561_0.jpg HTTP/1.1" 200 14092
INFO 2025-11-27 17:30:31,651 basehttp "GET /media/products/gallery/prod_1562_0.jpg HTTP/1.1" 200 43985
INFO 2025-11-27 17:30:31,653 basehttp "GET /media/products/gallery/prod_1560_0.jpg HTTP/1.1" 200 57819
INFO 2025-11-27 17:30:31,656 basehttp "GET /media/products/gallery/prod_1559_0.jpg HTTP/1.1" 200 49584
INFO 2025-11-27 17:30:31,673 basehttp "GET /media/products/gallery/prod_1557_0.jpg HTTP/1.1" 200 34852
INFO 2025-11-27 17:30:31,689 basehttp "GET /media/products/gallery/prod_1551_0.jpg HTTP/1.1" 200 39127
INFO 2025-11-27 17:30:31,690 basehttp "GET /media/products/gallery/prod_1553_0.jpg HTTP/1.1" 200 109863
INFO 2025-11-27 17:30:31,693 basehttp "GET /media/products/gallery/prod_1549_0.jpg HTTP/1.1" 200 32836
INFO 2025-11-27 17:30:31,695 basehttp "GET /media/products/gallery/prod_1548_0.jpg HTTP/1.1" 200 12892
INFO 2025-11-27 17:30:31,704 basehttp "GET /media/products/gallery/prod_1547_0.jpg HTTP/1.1" 200 57752
INFO 2025-11-27 17:30:31,727 basehttp "GET /media/products/gallery/prod_1540_0.jpg HTTP/1.1" 200 51177
INFO 2025-11-27 17:30:31,731 basehttp "GET /media/products/gallery/prod_1546_0.jpg HTTP/1.1" 200 79741
INFO 2025-11-27 17:30:31,734 basehttp "GET /media/products/gallery/prod_1565_0.jpg HTTP/1.1" 200 52354
INFO 2025-11-27 17:30:31,737 basehttp "GET /media/products/gallery/prod_1539_0.jpg HTTP/1.1" 200 27488
INFO 2025-11-27 17:30:31,743 basehttp "GET /media/products/gallery/prod_1535_0.jpg HTTP/1.1" 200 35158
INFO 2025-11-27 17:30:31,767 basehttp "GET /media/products/gallery/prod_1534_0.jpg HTTP/1.1" 200 43853
INFO 2025-11-27 17:30:31,767 basehttp "GET /media/products/gallery/prod_1533_0.jpg HTTP/1.1" 200 17702
INFO 2025-11-27 17:30:31,771 basehttp "GET /media/products/gallery/prod_1532_0.jpg HTTP/1.1" 200 134235
INFO 2025-11-27 17:30:31,775 basehttp "GET /media/products/gallery/prod_1527_0.jpg HTTP/1.1" 200 67112
INFO 2025-11-27 17:30:31,778 basehttp "GET /media/products/gallery/prod_1525_0.jpg HTTP/1.1" 200 23357
INFO 2025-11-27 17:30:31,804 basehttp "GET /media/products/gallery/prod_1521_0.jpg HTTP/1.1" 200 95212
